name;top.i;bottom.i;top.c;bottom.c;top.pm;bottom.pm;top.m;bottom.m;zoo.class
Opossum;5;4;1;1;3;3;4;4;15
Hairy tail mole;3;3;1;1;4;4;3;3;14
Common mole;3;2;1;0;3;3;3;3;14
Star nose mole;3;3;1;1;4;4;3;3;14
Brown bat;2;3;1;1;3;3;3;3;13
Silver hair bat;2;3;1;1;2;3;3;3;13
Pigmy bat;2;3;1;1;2;2;3;3;13
House bat;2;3;1;1;1;2;3;3;13
Red bat;1;3;1;1;2;2;3;3;13
Hoary bat;1;3;1;1;2;2;3;3;13
Lump nose bat;2;3;1;1;2;3;3;3;13
Armadillo;0;0;0;0;0;0;8;8;12
Pika;2;1;0;0;2;2;3;3;11
Snowshoe rabbit;2;1;0;0;3;2;3;3;10
Beaver;1;1;0;0;2;1;3;3;9
Marmot;1;1;0;0;2;1;3;3;9
Groundhog;1;1;0;0;2;1;3;3;9
Prairie Dog;1;1;0;0;2;1;3;3;9
Ground Squirrel;1;1;0;0;2;1;3;3;9
Chipmunk;1;1;0;0;2;1;3;3;9
Gray squirrel;1;1;0;0;1;1;3;3;9
Fox squirrel;1;1;0;0;1;1;3;3;9
Pocket gopher;1;1;0;0;1;1;3;3;8
Kangaroo rat;1;1;0;0;1;1;3;3;8
Pack rat;1;1;0;0;0;0;3;3;8
Field mouse;1;1;0;0;0;0;3;3;8
Muskrat;1;1;0;0;0;0;3;3;8
Black rat;1;1;0;0;0;0;3;3;8
House mouse;1;1;0;0;0;0;3;3;8
Porcupine;1;1;0;0;1;1;3;3;8
Guinea pig;1;1;0;0;1;1;3;3;8
Coyote;1;3;1;1;4;4;3;3;7
Wolf;3;3;1;1;4;4;2;3;7
Fox;3;3;1;1;4;4;2;3;7
Bear;3;3;1;1;4;4;2;3;7
Civet cat;3;3;1;1;4;4;2;2;6
Raccoon;3;3;1;1;4;4;3;2;5
Marten;3;3;1;1;4;4;1;2;5
Fisher;3;3;1;1;4;4;1;2;5
Weasel;3;3;1;1;3;3;1;2;5
Mink;3;3;1;1;3;3;1;2;5
Ferrer;3;3;1;1;3;3;1;2;5
Wolverine;3;3;1;1;4;4;1;2;5
Badger;3;3;1;1;3;3;1;2;5
Skunk;3;3;1;1;3;3;1;2;5
River otter;3;3;1;1;4;3;1;2;5
Sea otter;3;2;1;1;3;3;1;2;5
Jaguar;3;3;1;1;3;2;1;1;4
Ocelot;3;3;1;1;3;2;1;1;4
Cougar;3;3;1;1;3;2;1;1;4
Lynx;3;3;1;1;3;2;1;1;4
Fur seal;3;2;1;1;4;4;1;1;3
Sea lion;3;2;1;1;4;4;1;1;3
Walrus;1;0;1;1;3;3;0;0;3
Grey seal;3;2;1;1;3;3;2;2;3
Elephant seal;2;1;1;1;4;4;1;1;3
Peccary;2;3;1;1;3;3;3;3;2
Elk;0;4;1;0;3;3;3;3;1
Deer;0;4;0;0;3;3;3;3;1
Moose;0;4;0;0;3;3;3;3;1
Reindeer;0;4;1;0;3;3;3;3;1
Antelope;0;4;0;0;3;3;3;3;1
Bison;0;4;0;0;3;3;3;3;1
Mountain goat;0;4;0;0;3;3;3;3;1
Musk ox;0;4;0;0;3;3;3;3;1
Mountain sheep;0;4;0;0;3;3;3;3;1
